GLOBAL - Action - Log In,Log in with myColorado®,Log in,Iniciar sesión myColorado®,Iniciar sesión,
GLOBAL - Action - Log In Esp,Iniciar sesión myColorado®,Iniciar sesión,Log in with myColorado®,Log in,
GLOBAL - Label - Suggested Address,Suggested address,Suggested address,Dirección sugerida,Dirección sugerida,
GLOBAL - Label - Address Entered,Address you entered,Address you entered,La dirección que ingresaste,La dirección que ingresaste,
GLOBAL - Label - Select All,Select all that apply,Select all that apply,Selecciona todas las que correspondan,Selecciona todas las que correspondan,
GLOBAL - Text,Text,Text,Texto,Texto,
GLOBAL - Link FAQs,,FAQs,,Preguntas frecuentes,
GLOBAL - Title Contact Us,Summer EBT Help Desk,Summer EBT Help Desk,Línea de ayuda de Summer EBT,Línea de ayuda de Summer EBT,
GLOBAL - Link Contact Us,Email the Summer EBT Help Desk at cdhs_sebt_supportcenter@state.co.us,Contact us,Envía un correo electrónico a la Línea de ayuda de Summer EBT a cdhs_sebt_supportcenter@state.co.us.,Contáctanos,
GLOBAL - Link Public Notices,General Notices,Public Notifications,Avisos generales,Notificaciones públicas,
GLOBAL - Title Accessibility,Accessibility at CDHS,Accessibility at CDHS,Accesibilidad en CDHS,Accesibilidad en CDHS,
GLOBAL - Body Accessibility,"CDHS is committed to meeting members
of our community where they are, and
strives to provide all Coloradans with
access to our programs, services,
resources, activities and communication
regardless of ability.","CDHS is committed to meeting members
of our community where they are, and
strives to provide all Coloradans with
access to our programs, services,
resources, activities and communication
regardless of ability.","CDHS está comprometido a encontrarse con las personas de nuestra comunidad donde estén y se esfuerza por brindar a todas las personas de Colorado acceso a nuestros programas, servicios, recursos, actividades y comunicaciones, independientemente de su capacidad.","CDHS está comprometido a encontrarse con las personas de nuestra comunidad donde estén y se esfuerza por brindar a todas las personas de Colorado acceso a nuestros programas, servicios, recursos, actividades y comunicaciones, independientemente de su capacidad.",
GLOBAL - Link Accessibility,Digital accessibility statement,Accessibility,Declaración de accesibilidad digital,Accesibilidad,
GLOBAL - Link Privacy Policy,Transparency Online,Privacy and Security,Transparencia en línea,Privacidad y seguridad,
GLOBAL - Link Google Translate,,Google Translate Disclaimer,,Aviso legal del Traductor de Google,
GLOBAL - Link About,,About DC.GOV,,Acerca de DC.GOV,
GLOBAL - Link Terms,,Terms and Conditions,,Términos y condiciones,
GLOBAL - Copyrite,© [YYYY] State of Colorado,© [YYYY] District of Columbia,© [YYYY] Estado de Colorado,© [YYYY] Distrito de Columbia,
VALIDATION - Summary,"We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","We're sorry. Some required questions aren't filled or we can't accept some of the answers. We'll be able to continue your application once these issues are fixed.

If you need additional support (especially in a language other than English or español), please contact us.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas.

Si necesitas apoyo adicional (especialmente en un idioma diferente al inglés o español), por favor contáctanos.","Lo sentimos. Algunas preguntas requeridas no están completas o no podemos aceptar algunas de las respuestas. Podremos continuar con tu solicitud una vez que se solucionen estos problemas.

Si necesitas apoyo adicional (especialmente en un idioma diferente al inglés o español), por favor contáctanos.",
VALIDATION - Required,This is required,This is required,Esto es requerido,Esto es requerido,
VALIDATION - Select Option,Select an option,Select an option,Selecciona una opción,Selecciona una opción,
VALIDATION - Enter Phone,"Provide a valid phone number, including the area code","Provide a valid phone number, including the area code","Ingresa un número de teléfono válido, incluyendo el código de área","Ingresa un número de teléfono válido, incluyendo el código de área",
VALIDATION - Enter ZIP,Provide a valid ZIP Code with at least five numbers,Provide a valid ZIP Code with at least five numbers,Ingresa un código de área válido con por lo menos cinco números,Ingresa un código de área válido con por lo menos cinco números,
VALIDATION - Select Month,Select a month,Select a month,Selecciona un mes,Selecciona un mes,
VALIDATION - Enter Day,Provide a day using one or two numbers,Provide a day using one or two numbers,Escribe un día usando uno o dos números,Escribe un día usando uno o dos números,
VALIDATION - Enter Year,Provide a year using four numbers,Provide a year using four numbers,Escribe un año usando cuatro números.,Escribe un año usando cuatro números,
VALIDATION - Select Year,Select a year,Select a year,Selecciona un año,Selecciona un año,
VALIDATION - Enter Email,Provide a valid email address,Provide a valid email address,Ingresa un correo electrónico válido,Ingresa un correo electrónico válido,
VALIDATION - OTP Invalid,Enter a valid [6] digit code. Tap here to send a new code.,Enter a valid [6] digit code. Tap here to send a new code.,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código,Ingresa un código válido de 6 dígitos. Toca aquí para enviar un nuevo código,
VALIDATION - Global Internal Error,An error occurred on our end. Please try again.,An error occurred on our end. Please try again.,"Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.","Ocurrió un error de nuestro lado. Por favor, inténtalo de nuevo.",
VALIDATION - New Code,,A new code has been sent to your email.,,Se ha enviado un nuevo código a tu correo electrónico.,
PROTO - S1 - Optional ID Information - Title 2,We checked our records and need more information to see if Kalai F. Curtis can get Summer EBT,We checked our records and need more information to see if Kalai F. Curtis can get Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si Kalai F. Curtis puede recibir Summer EBT,Revisamos nuestros registros y necesitamos más información para ver si Kalai F. Curtis puede recibir Summer EBT,
PROTO - S2 - Portal Dashboard - Card Table - Kalai Frances Curtis' card,Kalai Frances Curtis' card,Kalai Frances Curtis' card,Tarjeta de Kalai Frances Curtis,Tarjeta de Kalai Frances Curtis,
PROTO - S2 - Portal Dashboard - Card Table - Caleb David Curtis' card,Caleb David Curtis' card,Caleb David Curtis' card,Tarjeta de Caleb David Curtis,Tarjeta de Caleb David Curtis,
PROTO - S2 - Portal Dashboard - Card Table - 1234 (last 4 digits),1234 (last 4 digits),1234 (last 4 digits),1234 (últimos 4 dígitos),1234 (últimos 4 dígitos),
PROTO - S2 - Portal Dashboard - Card Table - 5678 (last 4 digits),5678 (last 4 digits),5678 (last 4 digits),5678 (últimos 4 dígitos),5678 (últimos 4 dígitos),
PROTO - S2 - Portal Dashboard - Card Table - Status Requested On 1,Requested on 04/01/2024,Requested on 04/01/2024,Solicitada el 04/01/2024,Solicitada el 01/04/2024,
PROTO - S2 - Portal Dashboard - Card Table - Status Requested On 2,Requested on 05/05/2024,Requested on 05/05/2024,Solicitada el 05/05/2024,Solicitada el 05/05/2024,
PROTO - S4 - Mailing Address Update - Title Caleb David Curtis,Tell us where to safely send Caleb David Curtis' mail,Tell us where to safely send Caleb David Curtis' mail,Cuéntanos a qué dirección podemos enviar de forma segura el correo de Caleb David Curtis,Cuéntanos a qué dirección podemos enviar de forma segura el correo de Caleb David Curtis,
PROTO - S5 - Bulk Order New Cards Who - Card Number Kalai,Card number: 1234 (last 4 digits),Card number: 1234 (last 4 digits),Número de tarjeta: 1234 (últimos 4 dígitos),Número de tarjeta: 1234 (últimos 4 dígitos),
PROTO - S5 - Bulk Order New Cards Who - Card Number Caleb,Card number: 5678 (last 4 digits),Card number: 5678 (last 4 digits),Número de tarjeta: 5678 (últimos 4 dígitos),Número de tarjeta: 5678 (últimos 4 dígitos),
PROTO - First Name 1,Kalai,Kalai,Kalai,Kalai,
PROTO - Middle Name 1,Frances,Frances,Frances,Frances,
PROTO - Last Name 1,Curtis,Curtis,Curtis,Curtis,
PROTO - Birthdate Month 1,August,August,August,agosto,
PROTO - Birthdate Day 1,13,13,13,13,
PROTO - Birthdate Year 1,2017,2017,2017,2017,
PROTO - Name 1,Kalai Frances Curtis,Kalai Frances Curtis,Kalai F. Curtis,Kalai F. Curtis,
PROTO - Birthdate 1,"August 13, 2017",42960,"agosto 13, 2017","agosto 13, 2017",
PROTO - Name 2,Caleb David Curtis,Caleb David Curtis,Caleb David Curtis,Caleb David Curtis,
PROTO - First Name 2,Caleb,Caleb,Caleb,Caleb,
PROTO - Middle Name 2,David,David,David,David,
PROTO - Last Name 2,Curtis,Curtis,Curtis,Curtis,
PROTO - Birthdate 2,"January 7, 2009",39820,"enero 7, 2009","enero 7, 2009",
PROTO - Birthdate Month 2,January,January,January,enero ,
PROTO - Birthdate Day 2,7,7,7,7,
PROTO - Birthdate Year 2,2009,2009,2009,2009,
PROTO - LOGIN EMAIL,frances.curtis@gmail.com,frances.curtis@gmail.com,frances.curtis@gmail.com,frances.curtis@gmail.com,
PROTO - S2 - Portal Dashboard - Alert Address Title,A replacement for the card ending in 1234 will be sent to the following address,A replacement for the card ending in 1234 will be sent to the following address,Las tarjeta terminada en 1234 será remplazadas y enviada a la siguiente dirección,Las tarjeta que termina en 1234 será remplazada y enviada a la siguiente dirección,
